Skilled Nursing Facility,Date,Total Resident Positive Cases,Symptomatic Residents,Resident Loss of Life,Residents Recovered,Total Personnel Positive Cases,Symptomatic Personnel,Personnel Loss of Life,Personnel Recovered
Washington Center for Aging Services (Stoddard Global) (Bed Capacity: 259),12/31/20,84,79,20,59,35,12,1,6
BridgePoint Capitol Hill (Bed Capacity: 117),1/7/21,22,10,4,10,58,20,0,16
BridgePoint National Harbor (Bed Capacity: 92),1/7/21,10,0,0,9,43,19,0,10
Carroll Manor (Bed Capacity: 240),1/7/21,84,27,10,23,70,21,1,30
Deanwood (Bed Capacity: 296),1/7/21,129,53,25,84,92,5,0,54
Forest Hills (Bed Capacity: 50),1/7/21,10,3,2,6,25,6,0,24
Hospital for Sick Children LTC (Bed Capacity: 16),1/7/21,0,0,0,0,13,4,0,9
Ingleside (Bed Capacity: 60),1/7/21,3,1,2,0,9,5,0,4
Inspire (Bed Capacity: 180),1/7/21,100,28,14,56,57,22,1,38
Jeanne Jugan Little Sisters of the Poor (Bed Capacity: 40),1/7/21,22,13,4,18,31,16,0,19
Knollwood (Bed Capacity: 73),1/7/21,26,18,9,17,39,12,1,26
Lisner Home (Bed Capacity: 60),1/7/21,42,41,8,33,17,12,0,16
Reanaissance,1/7/21,3,0,0,0,14,0,0,0
Serenity (Bed Capacity: 183),1/7/21,67,41,13,49,46,20,0,30
Stoddard Baptist (Bed Capacity: 164),1/7/21,46,28,14,26,20,4,0,0
Thomas Circle (Bed Capacity: 57),1/7/21,6,5,1,5,14,4,0,12
Transitions (Bed Capacity: 360),1/7/21,177,55,26,75,79,40,1,44
UMNC (Bed Capacity: 120),1/7/21,23,22,7,0,12,12,1,10
Unique (Bed Capacity: 230),1/7/21,29,12,7,10,47,22,0,37
Washington Center for Aging Services (Stoddard Global) (Bed Capacity: 259),1/7/21,85,79,20,59,35,12,1,6
BridgePoint Capitol Hill (Bed Capacity: 117),1/14/21,22,10,5,10,56,20,0,16
BridgePoint National Harbor (Bed Capacity: 92),1/14/21,10,0,0,9,45,19,0,10
Carroll Manor (Bed Capacity: 240),1/14/21,87,27,14,23,76,21,1,30
Deanwood (Bed Capacity: 296),1/14/21,131,53,25,84,100,5,0,54
Forest Hills (Bed Capacity: 50),1/14/21,10,3,2,7,26,6,0,25
Hospital for Sick Children LTC (Bed Capacity: 16),1/14/21,0,0,0,0,14,4,0,9
Ingleside (Bed Capacity: 60),1/14/21,4,1,2,0,10,5,0,3
Inspire (Bed Capacity: 180),1/14/21,104,28,14,56,67,25,1,38
Jeanne Jugan Little Sisters of the Poor (Bed Capacity: 40),1/14/21,22,13,4,18,33,16,0,20
Knollwood (Bed Capacity: 73),1/14/21,26,18,9,17,42,14,1,26
Lisner Home (Bed Capacity: 60),1/14/21,42,41,8,33,17,12,0,16
Reanaissance,1/14/21,3,0,0,0,14,0,0,0
Serenity (Bed Capacity: 183),1/14/21,67,41,13,49,50,20,0,30
Stoddard Baptist (Bed Capacity: 164),1/14/21,46,28,14,26,21,4,0,0
Thomas Circle (Bed Capacity: 57),1/14/21,6,5,1,5,14,4,0,12
Transitions (Bed Capacity: 360),1/14/21,182,55,27,75,89,42,1,44
UMNC (Bed Capacity: 120),1/14/21,23,22,7,0,12,12,1,10
Unique (Bed Capacity: 230),1/14/21,43,12,7,10,56,24,0,37
Washington Center for Aging Services (Stoddard Global) (Bed Capacity: 259),1/14/21,90,81,20,59,39,12,1,6
BridgePoint Capitol Hill (Bed Capacity: 117),1/21/21,22,10,5,10,62,22,0,16
BridgePoint National Harbor (Bed Capacity: 92),1/21/21,10,0,0,9,47,19,0,10
Carroll Manor (Bed Capacity: 240),1/21/21,88,27,17,23,80,22,1,30
Deanwood (Bed Capacity: 296),1/21/21,143,53,28,84,117,5,0,54
Forest Hills (Bed Capacity: 50),1/21/21,10,3,2,7,29,6,0,25
Hospital for Sick Children LTC (Bed Capacity: 16),1/21/21,0,0,0,0,14,4,0,9
Ingleside (Bed Capacity: 60),1/21/21,4,1,2,0,13,7,0,3
Inspire (Bed Capacity: 180),1/21/21,105,28,14,56,68,25,1,38
Jeanne Jugan Little Sisters of the Poor (Bed Capacity: 40),1/21/21,22,13,4,18,34,16,0,20
Knollwood (Bed Capacity: 73),1/21/21,27,18,9,17,42,14,1,26
Lisner Home (Bed Capacity: 60),1/21/21,42,41,8,33,17,12,0,16
Reanaissance,1/21/21,3,0,0,0,14,0,0,0
Serenity (Bed Capacity: 183),1/21/21,67,41,13,49,50,20,0,30
Stoddard Baptist (Bed Capacity: 164),1/21/21,46,28,14,26,24,4,0,0
Thomas Circle (Bed Capacity: 57),1/21/21,6,5,1,5,15,4,0,13
Transitions (Bed Capacity: 360),1/21/21,186,55,27,75,91,42,1,44
UMNC (Bed Capacity: 120),1/21/21,23,22,7,0,12,12,1,10
Unique (Bed Capacity: 230),1/21/21,76,12,10,11,74,26,0,37
Washington Center for Aging Services (Stoddard Global) (Bed Capacity: 259),1/21/21,91,81,20,59,41,12,1,6
BridgePoint Capitol Hill (Bed Capacity: 117),1/28/21,22,10,6,10,66,25,0,16
BridgePoint National Harbor (Bed Capacity: 92),1/28/21,10,0,0,9,48,19,0,10
Carroll Manor (Bed Capacity: 240),1/28/21,92,27,20,24,82,24,1,31
Deanwood (Bed Capacity: 296),1/28/21,175,53,32,84,123,5,0,54
Forest Hills (Bed Capacity: 50),1/28/21,11,3,2,7,30,6,0,29
Hospital for Sick Children LTC (Bed Capacity: 16),1/28/21,0,0,0,0,15,5,0,9
Ingleside (Bed Capacity: 60),1/28/21,4,1,2,0,14,8,0,3
Inspire (Bed Capacity: 180),1/28/21,105,29,16,56,68,25,1,38
Jeanne Jugan Little Sisters of the Poor (Bed Capacity: 40),1/28/21,22,13,4,18,35,17,0,20
Knollwood (Bed Capacity: 73),1/28/21,27,18,9,18,42,14,1,27
Lisner Home (Bed Capacity: 60),1/28/21,42,41,8,33,18,12,0,16
Reanaissance,1/28/21,3,0,0,0,14,0,0,0
Serenity (Bed Capacity: 183),1/28/21,67,41,13,49,54,20,0,30
Stoddard Baptist (Bed Capacity: 164),1/28/21,47,28,14,26,24,4,0,0
Thomas Circle (Bed Capacity: 57),1/28/21,6,5,1,5,15,4,0,13
Transitions (Bed Capacity: 360),1/28/21,187,55,28,75,94,42,1,44
UMNC (Bed Capacity: 120),1/28/21,23,22,7,0,12,12,1,10
Unique (Bed Capacity: 230),1/28/21,85,13,13,11,82,29,0,37
Washington Center for Aging Services (Stoddard Global) (Bed Capacity: 259),1/28/21,91,81,20,59,43,13,1,6
BridgePoint Capitol Hill (Bed Capacity: 117),2/4/21,22,10,6,10,64,25,0,16
BridgePoint National Harbor (Bed Capacity: 92),2/4/21,10,0,0,9,49,20,0,10
Carroll Manor (Bed Capacity: 240),2/4/21,94,28,20,24,81,24,1,35
Deanwood (Bed Capacity: 296),2/4/21,187,53,32,84,136,5,0,54
Forest Hills (Bed Capacity: 50),2/4/21,11,3,2,7,31,6,0,30
Hospital for Sick Children LTC (Bed Capacity: 16),2/4/21,0,0,0,0,16,6,0,10
Ingleside (Bed Capacity: 60),2/4/21,4,1,2,0,13,8,0,4
Inspire (Bed Capacity: 180),2/4/21,106,29,17,56,69,25,1,38
Jeanne Jugan Little Sisters of the Poor (Bed Capacity: 40),2/4/21,22,13,4,18,35,17,0,20
Knollwood (Bed Capacity: 73),2/4/21,27,18,9,18,42,14,1,27
Lisner Home (Bed Capacity: 60),2/4/21,42,41,8,33,18,12,0,16
Reanaissance,2/4/21,3,0,0,0,14,0,0,0
Serenity (Bed Capacity: 183),2/4/21,68,41,13,49,54,20,0,32
Stoddard Baptist (Bed Capacity: 164),2/4/21,47,28,14,26,24,4,0,0
Thomas Circle (Bed Capacity: 57),2/4/21,6,5,1,5,15,4,0,13
Transitions (Bed Capacity: 360),2/4/21,192,55,28,75,98,43,1,44
UMNC (Bed Capacity: 120),2/4/21,23,22,7,0,12,12,1,10
Unique (Bed Capacity: 230),2/4/21,87,13,15,11,82,29,0,37
Washington Center for Aging Services (Stoddard Global) (Bed Capacity: 259),2/4/21,91,81,20,59,45,13,1,6
BridgePoint Capitol Hill (Bed Capacity: 117),2/11/21,22,10,6,10,66,24,0,16
BridgePoint National Harbor (Bed Capacity: 92),2/11/21,10,0,0,9,50,20,0,10
Carroll Manor (Bed Capacity: 240),2/11/21,96,27,21,24,81,24,1,36
Deanwood (Bed Capacity: 296),2/11/21,190,53,32,84,137,5,0,54
Forest Hills (Bed Capacity: 50),2/11/21,11,3,2,7,31,6,0,31
Hospital for Sick Children LTC (Bed Capacity: 16),2/11/21,0,0,0,0,17,6,0,10
Ingleside (Bed Capacity: 60),2/11/21,4,1,2,0,14,8,0,4
Inspire (Bed Capacity: 180),2/11/21,108,29,17,56,69,26,1,38
Jeanne Jugan Little Sisters of the Poor (Bed Capacity: 40),2/11/21,22,13,4,18,35,17,0,20
Knollwood (Bed Capacity: 73),2/11/21,27,18,9,18,42,14,1,27
Lisner Home (Bed Capacity: 60),2/11/21,42,41,8,33,18,12,0,16
Reanaissance,2/11/21,3,0,0,0,14,0,0,0
Serenity (Bed Capacity: 183),2/11/21,68,41,13,49,55,20,0,32
Stoddard Baptist (Bed Capacity: 164),2/11/21,47,28,14,26,25,5,0,0
Thomas Circle (Bed Capacity: 57),2/11/21,6,5,1,5,15,4,0,13
Transitions (Bed Capacity: 360),2/11/21,192,55,29,93,98,43,1,72
UMNC (Bed Capacity: 120),2/11/21,23,22,7,0,12,12,1,10
Unique (Bed Capacity: 230),2/11/21,87,13,15,11,82,29,0,37
Washington Center for Aging Services (Stoddard Global) (Bed Capacity: 259),2/11/21,92,81,20,59,47,13,1,12
BridgePoint Capitol Hill (Bed Capacity: 117),2/18/21,22,10,6,10,66,24,0,16
BridgePoint National Harbor (Bed Capacity: 92),2/18/21,10,0,0,9,51,21,0,10
Carroll Manor (Bed Capacity: 240),2/18/21,96,27,22,24,81,24,1,36
Deanwood (Bed Capacity: 296),2/18/21,194,53,40,84,137,5,0,54
Forest Hills (Bed Capacity: 50),2/18/21,11,3,2,7,32,6,0,31
Hospital for Sick Children LTC (Bed Capacity: 16),2/18/21,0,0,0,0,17,6,0,10
Ingleside (Bed Capacity: 60),2/18/21,4,1,2,0,14,8,0,4
Inspire (Bed Capacity: 180),2/18/21,108,29,17,56,70,26,1,38
Jeanne Jugan Little Sisters of the Poor (Bed Capacity: 40),2/18/21,22,13,4,18,36,17,0,20
Knollwood (Bed Capacity: 73),2/18/21,27,18,9,18,42,14,1,27
Lisner Home (Bed Capacity: 60),2/18/21,42,41,8,33,18,12,0,16
Reanaissance,2/18/21,4,0,0,0,14,0,0,0
Serenity (Bed Capacity: 183),2/18/21,68,41,13,49,55,20,0,32
Stoddard Baptist (Bed Capacity: 164),2/18/21,47,28,14,26,25,5,0,0
Thomas Circle (Bed Capacity: 57),2/18/21,6,5,1,5,15,4,0,13
Transitions (Bed Capacity: 360),2/18/21,192,55,29,93,98,43,1,72
UMNC (Bed Capacity: 120),2/18/21,23,22,7,0,12,12,1,10
Unique (Bed Capacity: 230),2/18/21,87,13,15,31,82,29,0,48
Washington Center for Aging Services (Stoddard Global) (Bed Capacity: 259),2/18/21,92,81,20,59,48,13,1,12
BridgePoint Capitol Hill (Bed Capacity: 117),2/25/21,22,10,6,10,66,24,0,16
BridgePoint National Harbor (Bed Capacity: 92),2/25/21,10,0,0,9,52,22,0,10
Carroll Manor (Bed Capacity: 240),2/25/21,95,27,22,24,82,24,1,36
Deanwood (Bed Capacity: 296),2/25/21,194,53,40,84,138,5,0,54
Forest Hills (Bed Capacity: 50),2/25/21,11,3,2,7,32,6,0,31
Hospital for Sick Children LTC (Bed Capacity: 16),2/25/21,0,0,0,0,17,6,0,10
Ingleside (Bed Capacity: 60),2/25/21,4,1,2,0,14,8,0,4
Inspire (Bed Capacity: 180),2/25/21,108,29,17,56,70,26,1,38
Jeanne Jugan Little Sisters of the Poor (Bed Capacity: 40),2/25/21,22,13,4,18,36,17,0,20
Knollwood (Bed Capacity: 73),2/25/21,27,18,9,18,42,14,1,27
Lisner Home (Bed Capacity: 60),2/25/21,42,41,8,33,18,12,0,16
Renaissance (bed Capacity:45),2/25/21,4,0,0,0,13,0,0,0
Serenity (Bed Capacity: 183),2/25/21,70,42,14,49,55,20,0,32
Stoddard Baptist (Bed Capacity: 164),2/25/21,47,28,14,26,26,5,0,0
Thomas Circle (Bed Capacity: 57),2/25/21,6,5,1,5,15,4,0,13
Transitions (Bed Capacity: 360),2/25/21,192,55,29,93,101,43,1,72
UMNC (Bed Capacity: 120),2/25/21,23,22,7,0,12,12,1,10
Unique (Bed Capacity: 230),2/25/21,87,13,15,31,82,29,0,54
Washington Center for Aging Services (Stoddard Global) (Bed Capacity: 259),2/25/21,94,81,20,59,49,13,1,12
BridgePoint Capitol Hill (Bed Capacity: 117),3/4/21,22,10,6,10,67,24,0,16
BridgePoint National Harbor (Bed Capacity: 92),3/4/21,10,0,0,9,52,22,0,10
Carroll Manor (Bed Capacity: 240),3/4/21,95,27,22,24,82,24,1,36
Deanwood (Bed Capacity: 296),3/4/21,196,53,40,84,139,5,0,54
Forest Hills (Bed Capacity: 50),3/4/21,11,3,2,7,32,6,0,31
Hospital for Sick Children LTC (Bed Capacity: 16),3/4/21,0,0,0,0,17,6,0,10
Ingleside (Bed Capacity: 60),3/4/21,4,1,2,0,14,8,0,4
Inspire (Bed Capacity: 180),3/4/21,108,29,17,56,70,26,1,38
Jeanne Jugan Little Sisters of the Poor (Bed Capacity: 40),3/4/21,22,13,4,18,36,17,0,20
Knollwood (Bed Capacity: 73),3/4/21,27,18,9,18,42,14,1,27
Lisner Home (Bed Capacity: 60),3/4/21,42,41,8,33,18,12,0,16
Renaissance (bed Capacity:45),3/4/21,4,0,0,0,14,0,0,0
Serenity (Bed Capacity: 183),3/4/21,74,42,14,49,59,20,0,32
Stoddard Baptist (Bed Capacity: 164),3/4/21,47,28,14,26,26,5,0,0
Thomas Circle (Bed Capacity: 57),3/4/21,6,5,1,5,15,4,0,13
Transitions (Bed Capacity: 360),3/4/21,192,55,29,93,103,43,1,72
UMNC (Bed Capacity: 120),3/4/21,23,22,7,0,12,12,1,10
Unique (Bed Capacity: 230),3/4/21,87,13,15,31,83,29,0,54
Washington Center for Aging Services (Stoddard Global) (Bed Capacity: 259),3/4/21,94,81,20,59,50,13,1,12
BridgePoint Capitol Hill (Bed Capacity: 117),3/11/21,22,10,6,10,69,24,0,16
BridgePoint National Harbor (Bed Capacity: 92),3/11/21,10,0,0,9,53,22,0,10
Carroll Manor (Bed Capacity: 240),3/11/21,95,27,22,24,83,24,1,36
Deanwood (Bed Capacity: 296),3/11/21,202,53,40,84,139,5,0,54
Forest Hills (Bed Capacity: 50),3/11/21,11,3,2,7,32,6,0,31
Hospital for Sick Children LTC (Bed Capacity: 16),3/11/21,0,0,0,0,17,6,0,10
Ingleside (Bed Capacity: 60),3/11/21,4,1,2,0,14,8,0,4
Inspire (Bed Capacity: 180),3/11/21,108,29,17,56,70,26,1,38
Jeanne Jugan Little Sisters of the Poor (Bed Capacity: 40),3/11/21,22,13,4,18,37,17,0,20
Knollwood (Bed Capacity: 73),3/11/21,27,18,9,18,42,14,1,27
Lisner Home (Bed Capacity: 60),3/11/21,42,41,8,33,18,12,0,16
Renaissance (bed Capacity:45),3/11/21,4,0,0,0,14,0,0,0
Serenity (Bed Capacity: 183),3/11/21,77,42,14,49,60,20,0,32
Stoddard Baptist (Bed Capacity: 164),3/11/21,47,28,14,26,27,6,0,0
Thomas Circle (Bed Capacity: 57),3/11/21,6,5,1,5,15,4,0,13
Transitions (Bed Capacity: 360),3/11/21,193,55,29,93,105,43,1,72
UMNC (Bed Capacity: 120),3/11/21,23,22,7,0,12,12,1,10
Unique (Bed Capacity: 230),3/11/21,87,13,15,31,83,29,0,54
Washington Center for Aging Services (Stoddard Global) (Bed Capacity: 259),3/11/21,95,81,20,59,51,13,1,12
